site,hzn,rep,bulk_agg,fe_ii_umol_per_g,fe_tot_xrf_ug_g,edc_umol_g_soil,eac_umol_g_soil,eac_to_eec
T,A,1,In,5.7675455307475465,17703.333333333332,5.727856943280249,290.23470243084677,0.9806466839745103
T,A,2,In,5.8383838383838365,17703.333333333332,2.331851851851851,313.33333333333326,0.9926128950505457
T,A,3,In,5.045199898141066,17703.333333333332,3.6725801431683722,338.46872082166135,0.9892658964795779
T,B,1,In,2.8199687290596365,18220,0.42042042042042016,310.19656019656003,0.9986464989145624
T,B,2,In,0.8843768172126374,18220,1.820362473347546,490.4051172707884,0.9963017711429856
T,B,3,In,0.2922812066396015,18220,0.666101375541738,329.28208027134,0.9979811939795606
R,A,1,In,0.3775449325080168,13263.333333333334,0.6234618539786705,218.41673502871183,0.9971536646567544
R,A,2,In,0.400545929266556,13263.333333333334,1.0356832027850305,202.34986945169715,0.9949077838161667
R,A,3,In,0.4835589941972912,13263.333333333334,1.3587159387831258,277.15565509518433,0.9951215589567641
R,B,1,In,0.5380285687257589,12010,0.974679153659382,257.54422476586876,0.9962297567455153
R,B,2,In,0.4419838094351919,12010,0.2599795291709317,158.6489252814741,0.9983639712986462
R,B,3,In,0.2979490022172951,12010,0.2601626016260164,139.48170731707327,0.9981382630576121
T,A,1,Bulk,1.0260867025005846,17470,2.4207369323050565,195.21208226221088,0.9877513413907105
T,A,2,Bulk,1.2398389141621287,16290,4.593929450369152,227.6456111566856,0.9802190038855527
T,A,3,Bulk,0.8648921501034175,19350,1.150234741784037,224.8104008667388,0.994909579101305
T,B,1,Bulk,1.1345188902007084,17610,0.6060606060606062,365.2597402597404,0.9983434893214221
T,B,2,Bulk,0.8409760342750042,17800,0.4590083456062841,263.2547864506629,0.9982594450701342
T,B,3,Bulk,0,19250,0.9184481393507516,372.1298495645287,0.9975379913405212
T,C,1,Bulk,0.3173559280557937,20030,0.17945266935845683,254.03768506056545,0.9992940968852025
T,C,2,Bulk,0.5395198273536556,21220,0.11609792284866477,186.85089020771528,0.9993790458732341
T,C,3,Bulk,0.34379251197728755,22210,0.24615050965083488,127.6837996096291,0.9980758961492494
R,A,1,Bulk,0.911577028258889,13330,3.8590094196292957,225.04557885141315,0.9831414064314871
R,A,2,Bulk,1.2484271783579743,12480,1.3437139561707039,91.37399077277972,0.9855074717380149
R,A,3,Bulk,0.7026096931459714,13980,1.606729758149318,165.36277602523677,0.9903771065823613
R,B,1,Bulk,0.6081030897207377,12690,0.5174291938997829,155.73733660130742,0.9966885541617467
R,B,2,Bulk,0.30263247630089357,10740,0.785196299074769,146.53975993998503,0.9946703103186357
R,B,3,Bulk,0.2992374985222842,12600,0.024490680537494595,188.15019505851768,0.9998698513541218
R,C,1,Bulk,0.3798285048285051,12120,0.10332722832722839,90.41895604395609,0.9988585437243509
R,C,2,Bulk,0.2887247633169843,9685,0.29276453366792143,102.73682559598495,0.9971584422174299
R,C,3,Bulk,0.3284758719541331,11070,23.729893295110713,108.69565217391313,0.8208057726999397
